ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
VCRA, Vocera Communications  Inc. Com ,Technology,Communication Equipment,15.25,14.997,16.062,16.7053
VFH,Vanguard Financials ETF - DNQ ETF,US Equity ETF,,44.77,44.692,44.8438,43.1393
VGR,Vector Group Ltd. Common ,Consumer Goods,Cigarettes,21.3,20.898,20.689,17.5993
VICR,Vicor Corporation ,Technology,Diversified Electronics,8.36,8.499,9.9224,9.7238
VOT,Vanguard Mid-Cap Growth ETF,US Equity ETF,,90.6,90.586,92.4136,87.8177
VSTM, Verastem  Inc. ,Healthcare,Biotechnology,8.35,8.628,11.5258,12.4415
VXF,Vanguard Extended Market ETF,US Equity ETF,,82.76,82.981,84.3978,79.9847
VXUS,Vanguard Total International Stock ETF,Global Equity ETF,,52.86,52.577,52.0036,50.7828
WDFC,WD-40 Company ,Basic Materials,Specialty Chemicals,72.84,72.596,74.227,68.9296
WHLR,Wheeler Real Estate Investment Trust Inc. ,Financial,REIT - Diversified,4.74,4.514,4.4822,4.41255
WLP,WellPoint Inc. Common ,Healthcare,Health Care Plans,100.68,95.313,94.8494,89.368
WSR,Whitestone REIT Common Shares ,Financial,REIT - Diversified,14.03,14.016,14.2836,14.22
WST,West Pharmaceutical Services I ,Healthcare,Medical Instruments & Supplies,43.38,43.047,44.6982,54.4408
WSTL,Westell Technologies Inc. ,Technology,Communication Equipment,3.26,3.304,3.7864,3.5572
WU,Western Union Company (The) Com ,Services,Business Services,15.87,15.67,16.209,17.1462
WVFC, WVS Financial Corp. ,Financial,Savings & Loans,11.75,11.606,11.674,11.4822
XBKS, Xenith Bankshares  Inc. ,Financial,Regional - Mid-Atlantic Banks,6.1,6.067,6.0102,5.88715
XLB,SPDR Materials Select Sector Fund ETF,US Equity ETF,,47.67,47.441,47.1068,44.1637
XLRN,Acceleron Pharma Inc. ,Healthcare,Biotechnology,34.35,34.583,40.5566,
ZA, Zuoan Fashion Limited American  ,Consumer Goods,Textile - Apparel Clothing,2.05,1.76,1.9912,2.09495
ZIOP,ZIOPHARM Oncology Inc ,Healthcare,Biotechnology,3.6,3.493,4.2176,3.85965
ZQK,Quiksilver Inc. Common ,Consumer Goods,Textile - Apparel Clothing,6.42,6.449,7.345,7.2975
ZSL,ProShares UltraShort Silver ETF,Commodity Based ETF,,88.59,85.86,79.6772,81.3559
