price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-04-09,32.99,33.658,31.4454,,33.4005,32.7826,0.617878,0.788273,21.6162685453266,27.5774936254808
2012-04-05,33.3,33.669,31.3568,,33.4751,32.766,0.709053,0.830872,14.661597985957,17.180539639756
2012-04-04,33.44,33.632,31.2846,,33.5069,32.7233,0.7836,0.861327,9.02413396415059,9.91926140125404
2012-04-03,34.04,33.646,31.2162,,33.5191,32.666,0.853088,0.880759,3.14169881246047,3.24360305099449
2012-04-02,34.07,33.63,31.1434,,33.4244,32.5561,0.868275,0.887677,2.1857809384496,2.23462494453305
2012-03-30,33.7,33.604,31.0624,,33.307,32.435,0.872044,0.892528,2.29509751314517,2.34900957344894
2012-03-29,33.5,33.579,30.9812,,33.2356,32.3338,0.901779,0.897649,-0.460158018130624,-0.458050263117819
2012-03-28,34.03,33.592,30.9058,,33.1875,32.2405,0.947021,0.896616,-5.62172117230895,-5.32250479343903
2012-03-27,33.56,33.483,30.8116,,33.0343,32.0973,0.93697,0.884015,-5.99028123414882,-5.65172689835152
2012-03-26,33.95,33.417,30.7226,,32.9387,31.9803,0.958397,0.870776,-10.0623716562166,-9.14242670296691
2012-03-23,33.1,33.132,30.6258,,32.7548,31.8227,0.932083,0.848871,-9.80268355754358,-8.92754460996971
2012-03-22,32.93,32.947,30.5462,,32.692,31.7205,0.971516,0.828068,-17.3231708563563,-14.7653449271037
2012-03-21,33.58,32.754,30.4658,,32.6487,31.6237,1.02502,0.792206,-29.3882087463069,-22.7132047278966
2012-03-20,33.88,32.398,30.3702,,32.4794,31.4672,1.01214,0.734002,-37.8934740606259,-27.4802519254579
2012-03-19,33.81,31.982,30.2616,,32.2247,31.2742,0.950565,0.664467,-43.0568986087066,-30.0977436442804
2012-03-16,33.45,31.658,30.156,,31.9365,31.0713,0.865189,0.592942,-45.9145853004545,-31.4667551608437
2012-03-15,33.63,31.401,30.0486,,31.6613,30.881,0.780321,0.52488,-48.6665270653239,-32.7353628459619
2012-03-14,32.94,31.151,29.935,,31.3034,30.6611,0.642258,0.46102,-39.3124463492124,-28.218904612922
2012-03-13,32.9,30.946,29.818,,31.0058,30.4788,0.527004,0.41571,-26.7719679636984,-21.118208065812
2012-03-12,31.1,30.753,29.7058,,30.6614,30.2851,0.376345,0.387887,2.975788340851,3.06705747974031
2012-03-09,31.25,30.706,29.6168,,30.5817,30.2199,0.361799,0.390773,7.41456473405374,8.00834895116692
2012-03-08,31,30.56,29.5346,,30.4602,30.1375,0.322737,0.398017,18.913828091668,23.3255901056103
2012-03-07,30.02,30.485,29.461,,30.3621,30.0685,0.293583,0.416837,29.5688229866699,41.9825768083835
2012-03-06,29.72,30.503,29.3964,,30.4243,30.0724,0.351933,0.44765,21.382178582996,27.1976228768549
2012-03-05,30.57,30.587,29.3306,,30.5524,30.1006,0.451845,0.471579,4.1847106776539,4.36747695200868
2012-03-02,30.88,30.599,29.2402,,30.5492,30.063,0.486275,0.476513,-2.04865686708016,-2.00752947659915
2012-03-01,31.13,30.509,29.1202,,30.4891,29.9976,0.491529,0.474072,-3.68240892832143,-3.55162362293027
2012-02-29,30.89,30.374,29.0084,,30.3726,29.907,0.46554,0.469708,0.887373312940948,0.895318127066459
