price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-01-09,27.25,27.934,30.5666,,-0.909601,-0.819485,-0.0901162028312683,-1.72349,-1.61898,-0.104506492614746
2012-01-06,26.91,27.986,30.5812,,-0.910038,-0.796956,-0.113081574440002,-1.75138,-1.56673,-0.184656262397766
2012-01-05,27.12,28.052,30.608,,-0.862692,-0.768686,-0.0940062999725342,-1.59427,-1.4744,-0.119863629341125
2012-01-04,27.71,28.13,30.6366,,-0.811165,-0.745184,-0.0659806728363037,-1.39039,-1.41447,0.0240814685821533
2012-01-03,28.08,28.134,30.643,,-0.793594,-0.728689,-0.0649051666259766,-1.28598,-1.42651,0.140531301498413
2011-12-30,28.56,28.126,30.6282,,-0.797295,-0.712463,-0.0848315954208374,-1.24559,-1.49678,0.251182794570923
2011-12-29,28.73,28.132,30.6084,,-0.839293,-0.691255,-0.148037135601044,-1.35668,-1.62237,0.265697360038757
2011-12-28,28.51,28.112,30.6006,,-0.898026,-0.654246,-0.243779540061951,-1.5681,-1.75522,0.187116265296936
2011-12-27,28.57,28.206,,,-0.93754,-0.593301,-0.344239234924316,-1.76073,-1.84878,0.0880497694015503
2011-12-23,27.9,28.39,,,-0.980381,-0.507241,-0.473140001296997,-2.04131,-1.8928,-0.148512721061707
2011-12-22,27.77,28.704,,,-0.952555,-0.388956,-0.563598901033401,-2.1313,-1.81854,-0.3127601146698
2011-12-21,27.57,29.016,,,-0.890049,-0.248056,-0.64199310541153,-2.15422,-1.66216,-0.492060780525208
2011-12-20,27.9,29.678,,,-0.776913,-0.0875576,-0.689355045557022,-2.03898,-1.41613,-0.622847437858582
2011-12-19,27.75,30.375,,,-0.65485,0.0847812,-0.739631205797195,-1.94163,-1.10471,-0.836917757987976
